typ;nr_katalogowy;opis;kanaly;rola;grupa_rabatowa
CPU;CX7000;Sterownik kompaktowy Beckhoff;;systemowy;BECKHOFF
DI;EL1008;8x wejście cyfrowe 24V DC;8;io;BECKHOFF
DO;EL2008;8x wyjście cyfrowe 24V DC 0.5A;8;io;BECKHOFF
AI;EL3054;4x wejście analogowe 4-20mA;4;io;BECKHOFF
AO;EL4024;4x wyjście analogowe 4-20mA;4;io;BECKHOFF
ENDCAP;EL9011;Pokrywa końcowa magistrali E-bus;;montaz;BECKHOFF
