typ;nr_katalogowy;opis;kanaly;rola;grupa_rabatowa;pobor_ebus_ma;zasila_ebus_ma
CPU;CX9020-0115;Embedded PC Beckhoff (CPU);;systemowy;BECKHOFF;;2000
LICENSE;EL6070-0033;Klucz licencyjny TwinCAT;;systemowy;BECKHOFF;80;
SERIAL;EL6021;Interfejs szeregowy RS422/485;;systemowy;BECKHOFF;130;
DI;EL1008;8x wejście cyfrowe 24V DC;8;io;BECKHOFF;90;
DO;EL2008;8x wyjście cyfrowe 24V DC 0.5A;8;io;BECKHOFF;110;
AI;EL3058;8x wejście analogowe 0/4-20mA;8;io;BECKHOFF;130;
AO;EL4024;4x wyjście analogowe 4-20mA;4;io;BECKHOFF;130;
BUSPSU;EL9410;Zasilacz E-bus (odświeżenie magistrali);;montaz;BECKHOFF;;2000
ENDCAP;EL9011;Pokrywa końcowa magistrali E-bus;;montaz;BECKHOFF;0;
